s11yc,s11yk,s11ys,s11zg,s11jj,s11jw,id
40,14,18,120,5,6,s2660
44,21,19,120,3,7,s2661
38,14,16,105,3,6,s2662
44,21,18,110,5,8,s2663
42,20,20,120,5,7.5,s2664
32,10,19,100,5,5,s2665
49,20,22,125,4,7.5,s2666
50,23,21,123,6,7.5,s2667
52,26,14,126,5,6,s2668
43,20,19,115,4,6,s2669
52,22,19,130,5,7,s2670
48,23,24,137,4,8,s2671
52,26,15,130,5,7,s2672
47,21,21,110,4,7,s2673
37,18,20,100,3,7,s2674
46,21,21,130,5,8.5,s2675
36,15,24,115,5,6,s2676
49,23,20,130,6,8,s2677
46,20,21,130,5,7,s2678
43,16,22,140,6,7,s2679
34,14,18,95,4,4,s2680
43,18,22,130,6,7,s2681
52,25,22,150,6,9,s2682
42,18,18,120,5,6,s2683
48,19,21,125,6,6,s2684
51,22,16,135,5,7,s2685
45,21,20,130,6,9,s2686
38,13,20,100,5,5,s2687
41,19,15,100,4,6,s2688
39,16,20,105,5,6,s2689
46,20,20,140,5,8,s2690
54,24,19,130,6,8,s2691
54,26,19,145,5,9,s2692
42,18,20,130,5,7,s2693
45,17,22,115,4,7,s2694
46,19,22,130,5,7,s2695
57,23,25,140,6,7,s2696
37,13,21,115,5,6,s2697
47,20,22,150,6,7,s2698
52,24,19,140,4,9,s2699
48,23,21,145,5,8,s2700
52,25,21,150,7,7,s2701
50,24,22,145,5,7,s2702
55,28,20,140,5,8,s2703
45,26,20,150,6,8,s2704
48,29,20,145,5,8,s2705
45,19,20,140,5,7,s2706
50,20,21,140,5,7,s2707
47,20,21,140,5,8,s2708
40,17,19,125,6,5,s2709
31,12,18,90,4,5,s2710
39,14,21,115,5,6,s2711
51,20,21,140,5,8,s2712
58,28,18,135,9,8.5,s2713
43,16,22,130,5,6,s2714
45,18,20,145,6,6,s2715
49,20,21,135,6,6,s2716
46,17,23,145,5,7,s2717
42,17,19,140,5,7,s2718
48,20,21,140,6,7,s2719
50,20,21,145,5,8,s2720
62,26,20,150,5,10,s2721
43,15,21,125,5,7,s2722
56,24,20,150,5,8,s2723
46,18,22,140,5,9,s2724
58,26,19,140,4.5,11,s2725
54,19,22,145,5.5,7.5,s2726
46,19,18,130,5,7,s2727
42,17,19,130,5,6,s2728
40,17,20,130,5,7,s2729
37,12,13,90,4,5,s2730
45,17,21,125,4,7,s2731
46,18,20,145,7,6.5,s2732
40,16,21,130,5,6,s2733
49,21,21,140,6,8,s2734
45,20,21,145,5,7,s2735
32,12,21,105,5,7,s2736
26,9,20,90,3,4,s2737
39,12,22,120,4,7,s2738
52,21,22,130,3,6,s2739
42,13,20,120,4,6,s2740
48,19,20,140,4,8,s2741
50,23,23,150,5,8,s2742
55,25,22,150,5,8.5,s2743
50,18,27,144,4,7,s2744
50,19,26,140,4,7,s2745
49,19,22,135,3,7,s2746
47,17,24,132,3,7,s2747
43,19,24,130,5,7,s2748
37,14,20,110,3,7,s2749
52,19,22,130,6,7,s2750
40,14,18,120,5,7,s2751
53,21,22,145,4,9,s2752
57,25,24,145,6,9,s2753
44,20,22,140,5,7,s2754
50,21,23,150,5,7,s2755
54,21,19,140,5,8,s2756
50,21,22,135,5,7,s2757
57,23,23,140,5,8,s2758
58,26,21,150,5,9,s2759
53,20,22,135,5,7,s2760
57,30,20,135,5,8,s2761
56,24,19,145,6,8,s2762
50,23,17,120,5,8,s2763
46,16,23,135,5,7,s2764
45,20,21,145,5,8,s2765
46,19,19,130,5,8,s2766
40,16,19,120,5,6,s2767
47,20,24,150,6,8,s2768
42,18,21,135,5,6,s2769
43,20,23,145,5,8,s2770
52,22,22,145,6,8,s2771
47,22,18,130,5,9,s2772
48,20,19,130,5,8,s2773
40,13,14,103,4,5.5,s2774
43,20,19,127,4,7,s2775
49,18,18,140,5,8,s2776
48,18,20,135,7,8,s2777
47,20,19,135,5,8,s2778
40,15,20,110,5,7,s2779
54,23,22,130,5,8,s2780
54,26,23,145,6,8,s2781
46,20,22,135,5,7,s2782
48,19,20,135,5,8,s2783
52,23,16,120,5,8,s2784
53,23,22,145,6,9,s2785
46,17,26,125,5,10,s2786
46,18,23,126,4,8,s2787
50,21,20,120,4,9,s2788
47,19,28,125,6,9,s2789
50,18,22,115,5,9,s2790
50,20,20,97,5,7,s2791
51,20,22,100,4,10,s2792
54,26,26,140,5,10,s2793
46,18,20,100,5,8,s2794
44,20,22,113,5,9,s2795
49,20,19,125,5,8,s2796
47,19,21,130,6,8,s2797
51,20,21,135,6,8,s2798
52,17,25,140,6,9,s2799
51,23,23,125,5,9,s2800
40,17,14,107,4,6,s2801
48,18,20,145,5,10,s2802
58,26,23,145,5,10,s2803
47,18,22,120,5,8,s2804
45,28,18,95,4,8,s2805
47,17,19,120,6,9,s2806
48,19,22,130,5,8,s2807
49,16,18,120,7,7,s2808
49,22,17,120,7,7,s2809
57,20,22,130,5,8,s2810
60,25,25,150,4,10,s2811
46,22,23,145,4,9,s2812
33,13,24,125,5,7,s2813
40,16,22,135,6,7,s2814
56,24,22,135,6,8,s2815
36,14,19,105,4,5,s2816
56,24,21,150,5,7,s2817
48,19,20,140,6,7,s2818
48,23,20,150,5,7,s2819
64,31,19,145,6,8,s2820
42,17,18,115,4,7,s2821
50,24,22,150,5,8,s2822
46,19,16,110,5,6,s2823
54,23,22,140,6,8,s2824
46,20,25,135,4,7,s2825
65,30,20,148,5,10,s2826
57,28,19,140,5,9,s2827
58,26,20,130,5,8,s2828
56,25,16,127,5,7,s2829
58,26,20,150,5,9,s2830
58,22,25,145,4,8,s2831
45,15,21,130,5,6,s2832
50,24,18,138,6,8,s2833
53,21,23,130,4,8,s2834
52,18,22,140,6,8,s2835
44,16,14,130,7,7,s2836
57,21,20,150,4,8,s2837
40,15,21,120,5,6,s2838
52,23,23,170,5,9,s2839
53,23,19,150,6,8,s2840
53,28,20,150,5,9,s2841
58,28,23,155,4,9,s2842
50,23,21,145,4,8,s2843
50,24,20,145,4,9,s2844
41,12,10,110,5,7,s2845
40,16,20,110,4,6,s2846
48,26,24,145,5,8,s2847
42,26,17,130,5,7,s2848
49,21,19,135,5,7,s2849
51,26,21,145,6,7,s2850
50,26,25,145,5,9,s2851
50,22,25,145,5,7,s2852
35,13,17,100,5,6,s2853
48,21,19,145,5,7,s2854
47,21,23,120,5,7,s2855
50,18,23,125,4,7,s2856
55,29,21,135,6,7,s2857
50,20,23,120,5,7,s2858
60,29,22,150,6,8,s2859
59,27,23,145,6,8,s2860
32,12,22,110,3,6,s2861
46,18,24,123,3,6,s2862
35,15,25,125,4,6,s2863
42,16,25,135,4,7,s2864
41,22,21,130,5,8,s2865
34,14,19,100,4,5,s2866
44,19,22,125,5,7,s2867
58,19,23,130,6,8,s2868
50,22,23,150,5,7,s2869
48,23,23,140,5,7,s2870
41,20,21,135,4,7,s2871
38,13,22,130,5,6,s2872
51,21,19,120,5,7,s2873
46,21,22,130,5,7,s2874
43,19,22,130,5,7.5,s2875
51,25,24,145,5,8,s2876
54,21,26,150,5,7.5,s2877
52,26,22,145,5,8.5,s2878
50,24,23,155,5,7,s2879
51,22,25,150,5,9,s2880
43,16,21,130,5,7,s2881
40,18,25,135,5,7.5,s2882
41,21,18,133,5,7.5,s2883
46,21,23,135,5,7,s2884
45,20,23,135,4,8,s2885
54,25,24,150,5,8,s2886
36,13,23,115,3,7,s2887
58,25,22,150,5,9,s2888
52,25,22,135,5,8,s2889
48,20,22,125,5,7,s2890
42,21,24,130,4,8,s2891
23,8,22,90,4,4,s2892
50,21,23,140,4,7,s2893
48,20,22,120,4,7,s2894
58,24,20,140,5,9,s2895
43,17,17,140,6,7,s2896
54,24,24,135,4,7,s2897
51,25,23,150,4,8,s2898
50,27,25,135,4,9,s2899
43,19,18,110,4,6,s2900
48,22,21,120,4,8,s2901
44,22,20,135,5,8,s2902
42,14,22,115,5,6,s2903
47,19,21,130,4,6,s2904
45,16,23,135,5,7,s2905
52,24,20,160,5,8.5,s2906
42,19,18,120,5,7.5,s2907
52,24,23,150,5,7,s2908
51,22,22,180,6,7.5,s2909
56,26,22,150,5,8,s2910
50,20,20,135,6,7,s2911
51,21,21,135,6,8,s2912
38,13,25,120,5,5,s2913
39,14,20,110,5,6,s2914
47,23,18,135,5,7,s2915
60,28,24,150,5,10,s2916
60,26,21,145,4,9,s2917
44,17,23,140,5,7,s2918
57,26,23,150,5,8,s2919
47,20,24,135,5,7,s2920
54,24,20,130,6,8,s2921
43,22,19,125,4,6,s2922
44,20,21,140,6,8,s2923
40,15,22,120,6,7,s2924
54,32,21,150,5,8,s2925
58,27,24,165,5,8,s2926
48,24,22,160,5,8,s2927
51,23,22,150,5,7,s2928
44,20,22,150,5,8,s2929
43,20,19,145,7,7,s2930
62,29,24,180,4,9,s2931
41,15,17,115,4,8,s2932
55,24,23,145,5,8,s2933
48,18,20,145,4,8,s2934
51,21,22,140,4,9,s2935
50,20,20,135,5,9,s2936
48,18,22,140,5,8,s2937
47,17,22,145,5,9,s2938
33,11,17,110,4,4,s2939
58,23,18,165,6,9,s2940
46,18,13,130,5,8,s2941
56,26,23,150,4,8,s2942
56,26,22,155,7,10,s2943
45,16,21,145,5,8,s2944
50,21,22,155,6,7,s2945
37,10,20,110,4,5,s2946
39,14,19,115,5,7,s2947
58,24,23,145,6,8,s2948
52,21,22,140,5,7,s2949
46,16,21,135,6,7.5,s2950
54,28,19,155,5,9,s2951
48,22,21,150,4,9,s2952
42,19,23,135,5,7,s2953
50,24,18,155,6,8,s2954
43,14,18,115,5,6,s2955
52,22,22,135,4,9,s2956
56,28,20,155,8,9,s2957
52,20,19,150,8,8,s2958
25,8,13,80,5,4,s2959
50,22,23,145,5,8,s2960
45,19,22,150,5,8,s2961
58,24,21,165,7,9,s2962
53,24,21,170,8,9,s2963
47,19,18,145,6,7,s2964
62,25,20,160,6,9,s2965
63,29,21,155,5,11,s2966
53,21,18,155,5,9,s2967
60,26,18,160,6,10,s2968
52,25,20,170,8,10,s2969
43,16,15,110,7,5,s2970
55,27,21,155,6,9,s2971
54,24,22,150,4,10,s2972
60,29,18,160,6,9,s2973
54,24,18,156,5,8,s2974
41,18,20,140,7,6,s2975
47,20,23,145,5,8,s2976
47,21,25,155,5,9,s2977
50,22,21,155,6,9,s2978
50,25,21,155,5,9,s2979
55,23,23,170,6,9,s2980
56,23,25,155,6,9,s2981
54,20,24,155,6,8,s2982
50,17,22,125,5,7,s2983
38,15,22,140,5,7,s2984
60,27,21,160,6,9,s2985
56,26,20,155,4,9,s2986
52,33,21,150,5,9,s2987
50,20,21,135,5,8,s2988
51,25,28,140,5,9,s2989
55,26,29,145,6,8,s2990
50,23,23,165,7,9,s2991
53,24,22,170,6,9,s2992
42,19,25,125,5,7,s2993
52,23,23,160,6,9,s2994
53,32,20,145,6,9,s2995
41,20,20,145,5,9,s2996
43,14,19,115,5,6,s2997
52,22,24,140,5,8,s2998
36,15,19,120,6,5,s2999
52,21,22,160,7,8,s3000
62,27,20,160,8,9,s3001
50,18,18,140,6,8,s3002
55,25,22,160,6,8,s3003
50,20,21,145,5,7,s3004
40,12,21,130,5,6,s3005
44,19,23,135,5,7,s3006
42,14,23,125,5,7,s3007
52,23,25,140,5,8,s3008
48,21,25,150,3,8,s3009
53,21,25,155,4,6,s3010
48,20,21,140,4,8,s3011
43,24,18,130,3,8,s3012
50,22,22,133,3,8,s3013
34,14,19,110,3,6,s3014
45,22,19,135,3,7,s3015
50,23,23,115,3,8,s3016
47,19,20,110,3,7,s3017
49,24,21,125,3,7,s3018
40,22,23,135,3,7,s3019
51,24,19,140,3,8,s3020
58,32,20,150,4,9,s3021
48,33,18,135,3,8,s3022
35,11,12,88,3,4,s3023
42,26,17,120,2,8,s3024
44,20,19,130,3,8,s3025
54,24,24,140,3,9,s3026
36,15,21,105,3,6,s3027
47,20,21,135,3,8,s3028
50,21,22,135,4,9,s3029
54,20,23,130,4,9,s3030
57,25,24,150,4,7,s3031
49,22,24,150,3,9,s3032
45,16,20,135,3,5,s3033
51,27,21,150,3,8,s3034
44,19,25,155,3,8,s3035
53,20,23,135,3,7,s3036
50,22,21,135,3,7,s3037
56,22,20,135,3,7.5,s3038
49,20,23,150,3,7,s3039
45,20,21,135,4,6.5,s3040
57,30,18,140,3,8,s3041
50,23,15,135,4,8,s3042
56,22,20,145,3,8,s3043
64,30,21,150,4,8,s3044
60,25,20,150,5,8,s3045
48,17,22,125,2.5,6,s3046
46,18,27,146,3,6,s3047
50,19,18,130,3,6,s3048
52,22,20,135,4,7,s3049
23,8,18,90,2.5,5,s3050
49,21,21,150,4,8,s3051
55,28,17,135,4,9,s3052
37,18,16,105,5,5,s3053
58,29,18,130,5,9,s3054
63,33,20,170,5,9,s3055
69,33,22,140,3,10,s3056
51,23,22,135,4,10,s3057
33,14,18,95,3,5,s3058
53,25,21,145,4,8,s3059
41,13,22,125,4,6,s3060
50,20,22,135,4,9,s3061
51,20,20,140,5,9,s3062
53,22,20,150,4,8.5,s3063
53,24,22,150,4,8,s3064
61,29,23,145,3,9,s3065
51,27,21,150,4,10,s3066
55,24,22,155,4,9,s3067
36,12,25,80,3,5,s3068
57,27,21,150,4,9,s3069
54,21,20,160,4,9,s3070
50,23,23,135,4,8,s3071
54,26,21,145,4,8,s3072
54,26,18,140,4,7,s3073
52,22,24,150,4,8,s3074
57,29,22,150,4,8,s3075
50,21,19,130,3,6,s3076
56,26,22,135,4,8,s3077
53,20,19,135,5,8,s3078
60,25,22,150,4,9,s3079
60,29,23,150,5,10,s3080
40,14,25,130,3,7,s3081
66,34,23,170,4,9,s3082
51,23,19,165,4,8,s3083
50,22,21,155,5,8,s3084
59,26,25,150,3,9,s3085
50,23,21,135,3,8,s3086
56,25,21,130,3,9,s3087
45,22,20,135,3.5,6,s3088
54,25,21,140,4,9,s3089
57,22,16,130,4,8,s3090
52,21,21,135,3,6,s3091
52,21,22,145,4,7,s3092
47,19,22,145,5,7,s3093
38,10,17,95,3,4,s3094
60,26,24,160,5,8,s3095
60,27,23,155,4,9,s3096
58,25,20,160,4,8,s3097
28,15,22,115,3,6,s3098
45,22,22,130,4,7,s3099
26,19,14,115,3,7,s3100
51,18,17,95,4,7,s3101
42,15,15,95,2,5,s3102
52,19,18,110,3,6.5,s3103
59,24,19,115,4,8,s3104
62,27,19,135,4,10,s3105
64,32,23,150,4,10,s3106
58,24,21,160,4.5,9,s3107
35,16,NA,NA,3,6,s3108
47,20,21,150,4,6,s3109
38,13,17,95,2,5,s3110
51,23,21,125,9,8,s3111
50,21,22,120,9,7,s3112
55,25,20,145,9,9,s3113
37,15,19,95,9,4.5,s3114
55,26,19,135,6,9,s3115
54,30,21,135,9,8.5,s3116
55,26,22,140,9,8,s3117
58,30,20,160,8,10,s3118
60,30,22,155,6,9,s3119
50,23,21,120,5,7,s3120
46,20,21,115,10,7,s3121
48,20,21,125,6,6,s3122
53,20,21,130,5,8,s3123
59,28,21,140,6,9,s3124
57,25,23,145,5,9,s3125
54,26,18,145,8,8,s3126
43,16,22,120,8,7,s3127
45,22,20,130,6,7,s3128
56,26,19,130,6,8,s3129
62,24,19,140,7,8,s3130
51,21,15,100,6,7,s3131
59,25,22,150,5,9,s3132
52,25,18,135,9,8,s3133
58,28,21,145,8,9,s3134
56,22,22,150,7,8,s3135
53,23,18,125,9,7,s3136
46,29,20,130,11,6,s3137
52,24,21,145,8,8,s3138
55,25,18,130,10,7,s3139
54,23,19,135,7,8,s3140
53,21,18,120,5,8,s3141
47,20,21,115,6,6,s3142
45,19,20,115,4,7,s3143
55,28,17,135,6,9,s3144
50,19,25,130,7,8,s3145
46,21,20,125,5,6,s3146
50,24,21,140,8,7,s3147
45,20,18,120,8,6,s3148
51,21,21,135,8,6,s3149
52,21,20,130,6,6,s3150
48,27,22,135,7,6,s3151
45,20,19,125,7,7,s3152
43,28,18,115,8,7,s3153
48,22,21,135,6,7,s3154
64,28,19,155,8,8,s3155
55,24,18,140,12,7,s3156
46,21,22,140,8,7,s3157
40,20,19,115,9,6,s3158
51,22,18,130,6,7,s3159
46,28,19,120,8,5,s3160
44,21,18,115,4,7,s3161
38,21,19,115,5,6,s3162
41,23,19,105,6,6,s3163
37,19,19,120,9,6,s3164
48,25,20,135,7,7,s3165
59,33,20,135,10,8,s3166
56,38,18,145,8,8,s3167
30,14,15,115,6,5,s3168
40,20,20,145,8,5,s3169
48,23,16,105,4,5,s3170
45,18,18,105,6,8,s3171
49,22,20,120,6,6,s3172
41,19,19,120,5,6,s3173
44,16,19,125,6,7,s3174
44,23,20,130,6,8,s3175
58,24,25,160,7,8,s3176
59,26,21,145,7,8.5,s3177
52,20,22,145,6,6,s3178
41,13,16,105,7,7,s3179
47,21,22,125,7.5,7.5,s3180
55,23,17,125,6,6,s3181
51,21,20,130,6,6,s3182
51,23,18,130,7,7,s3183
50,20,19,125,7,7,s3184
58,24,19,140,6,6,s3185
51,22,22,145,5,5,s3186
52,24,22,140,6,6,s3187
54,23,16,130,9,9,s3188
57,22,22,135,9,9,s3189
55,22,21,140,7,7,s3190
55,30,21,135,7,7,s3191
54,26,18,140,5,5,s3192
52,24,21,140,5,5,s3193
48,24,22,135,6,6,s3194
49,25,19,125,7,7,s3195
55,23,21,130,6,7,s3196
60,25,18,165,7,8,s3197
49,17,18,140,7,7,s3198
55,22,18,140,5,7,s3199
60,26,20,140,6,8,s3200
43,20,21,130,6,6,s3201
55,26,23,155,8,8,s3202
34,12,18,115,6,5,s3203
56,29,23,155,7,9,s3204
50,24,24,165,5,8,s3205
52,24,24,175,9,8,s3206
52,23,19,150,7,7,s3207
56,25,21,165,8,8.5,s3208
55,25,18,160,9,8,s3209
51,22,20,150,8,7,s3210
59,23,24,145,6,8,s3211
44,18,17,100,5,7,s3212
55,26,23,145,7,8,s3213
57,21,23,165,7,9,s3214
50,20,25,145,6,8,s3215
59,26,23,155,8,9,s3216
60,30,21,180,9,9,s3217
56,25,22,160,9,8,s3218
57,25,23,140,7,7,s3219
52,24,20,125,7,7,s3220
50,20,25,125,6,7,s3221
57,34,23,155,6,9,s3222
43,20,24,135,3,9,s3223
50,20,19,130,7,7,s3224
48,23,16,145,7,8,s3225
36,16,22,100,3,7,s3226
41,18,22,135,4,7,s3227
51,23,19,135,4,9,s3228
57,24,17,145,7,8,s3229
40,20,30,130,4,7,s3230
50,22,20,140,8,7,s3231
53,25,23,160,8,8,s3232
53,25,25,160,6,8,s3233
30,9,14,70,4,3.5,s3234
58,28,21,155,7,9,s3235
52,25,20,130,5,7,s3236
53,23,15,100,8,7,s3237
45,19,21,125,6,8,s3238
53,22,19,130,6,8,s3239
45,22,18,115,4.5,6.5,s3240
48,19,23,145,4,7,s3241
38,13,15,110,4,6,s3242
53,29,20,135,6,8,s3243
44,15,19,130,4,7,s3244
57,26,21,155,7,9,s3245
50,24,23,135,6,7.5,s3246
50,20,24,145,7,8,s3247
60,28,21,180,7,9,s3248
56,23,20,165,9,8,s3249
55,23,24,155,7,9,s3250
44,20,17,155,7,7,s3251
48,10,21,140,7,7.5,s3252
40,15,21,125,7,6,s3253
55,33,18,155,8,7.5,s3254
58,34,19,135,8,8,s3255
57,27,21,165,7,9,s3256
56,28,22,160,7,8,s3257
55,22,25,150,8,8,s3258
55,28,20,160,8,9,s3259
52,22,25,150,11,9,s3260
58,27,20,145,8,8,s3261
51,25,23,140,6,8,s3262
55,25,20,140,7,8,s3263
40,17,22,140,4,7,s3264
62,27,20,155,8,9,s3265
50,25,22,150,6,8,s3266
60,25,19,155,8,9,s3267
54,25,22,155,4,10,s3268
23,7,10,80,4,3,s3269
50,23,19,160,7,10,s3270
58,26,20,160,6,10.5,s3271
59,27,22,160,8,9.5,s3272
34,11,21,115,7,4.5,s3273
63,26,19,155,7,8,s3274
49,19,20,120,5,6.5,s3275
58,26,20,155,5,8,s3276
47,23,20,120,8,6.5,s3277
50,24,22,155,8,8,s3278
47,21,17,120,8,6.5,s3279
49,20,20,135,4,7.5,s3280
42,19,27,160,8,6,s3281
53,17,24,150,8,8,s3282
34,12,20,110,4,5,s3283
50,20,23,155,8,8,s3284
58,25,23,155,7,8,s3285
51,17,26,140,7,8,s3286
52,22,24,145,8,8,s3287
40,14,21,130,7,8,s3288
48,18,24,140,7,7,s3289
52,19,22,140,7,8,s3290
64,26,19,170,7,10,s3291
47,20,20,125,6,8,s3292
63,28,20,145,6,8.5,s3293
57,22,20,135,7,8.5,s3294
60,25,22,145,7,8,s3295
60,26,24,145,5,8.5,s3296
52,20,22,150,7,8,s3297
62,29,24,155,6,9.5,s3298
60,26,22,150,7,9,s3299
55,25,18,155,7,8,s3300
52,21,19,140,8,6.5,s3301
44,20,19,140,7,7,s3302
50,23,20,145,7,6,s3303
54,23,21,140,8,7.5,s3304
33,12,22,120,4,5.5,s3305
52,22,26,150,7,7,s3306
55,23,21,140,7,8,s3307
58,25,23,150,7,8.5,s3308
52,20,23,135,7,8,s3309
57,28,20,145,7,9,s3310
50,25,21,155,8,9,s3311
59,27,20,165,5,8,s3312
55,23,19,160,8,8,s3313
49,20,22,140,5,7,s3314
59,27,21,155,7,8,s3315
46,25,23,135,8,7,s3316
50,23,21,135,7,7,s3317
41,15,21,130,7,7,s3318
40,18,21,130,3.5,6,s3319
59,21,18,145,7,8.5,s3320
40,16,23,135,6,8,s3321
48,20,24,135,6,7,s3322
46,18,23,140,9,8,s3323
55,23,25,145,6,8,s3324
52,23,21,135,7,8,s3325
47,20,25,135,6,7,s3326
51,20,23,145,5,8,s3327
60,27,21,150,5,9,s3328
55,25,23,150,6,8,s3329
56,28,24,150,7,9,s3330
30,11,21,95,5,4,s3331
55,20,25,140,7,7,s3332
50,18,22,135,5,6.5,s3333
55,19,25,140,6,7,s3334
57,20,25,150,6,8,s3335
50,20,23,145,7,8,s3336
45,20,20,125,7,6,s3337
47,22,21,135,8,6.5,s3338
47,21,19,125,4,6,s3339
42,18,20,130,6,5.5,s3340
52,21,18,140,8,7.5,s3341
48,21,22,135,8,7.5,s3342
44,20,15,135,6,7,s3343
47,21,20,150,4,7,s3344
50,22,20,140,5,6.5,s3345
48,19,21,135,8,7,s3346
53,23,19,140,7,8,s3347
48,20,18,130,7,6.5,s3348
42,19,20,140,8,7,s3349
56,27,22,145,8,8,s3350
50,25,21,125,7,7,s3351
35,14,23,135,4,6,s3352
47,22,24,130,6,8,s3353
51,26,22,135,6,8,s3354
53,23,23,135,6,7.5,s3355
55,26,22,130,7,7,s3356
52,25,21,135,9,7.5,s3357
53,22,24,135,5,7.5,s3358
56,24,23,140,7,8,s3359
56,22,22,165,7,8.5,s3360
48,22,22,125,8,6.5,s3361
48,21,21,125,9,7,s3362
50,22,22,130,7,7,s3363
50,21,21,140,5,6,s3364
63,29,29,165,7,9,s3365
50,22,22,145,8,7,s3366
57,24,21,155,8,7,s3367
59,25,19,145,7,8,s3368
47,19,20,135,8,6,s3369
57,30,20,145,7,8,s3370
47,23,22,130,7,7,s3371
51,23,22,135,6,8,s3372
39,17,21,115,6,6,s3373
49,23,20,135,7,7,s3374
50,22,16,140,6,7,s3375
44,20,23,140,8,6,s3376
48,22,14,130,7,7,s3377
50,20,20,135,8,7,s3378
46,21,19,130,8,7,s3379
40,18,21,115,5,5.5,s3380
47,18,26,155,8,7,s3381
50,22,21,145,7,8,s3382
42,18,25,135,6,7,s3383
54,20,22,135,6,7,s3384
56,26,21,150,7,9,s3385
38,15,15,110,5,6,s3386
46,20,31,150,3.5,8,s3387
50,21,36,185,4,9,s3388
47,22,28,165,5,8,s3389
47,20,28,155,4,7,s3390
48,18,24,150,7,6.5,s3391
48,17,21,130,7,6.5,s3392
50,19,23,145,7,7,s3393
50,21,22,130,8,6,s3394
47,20,18,125,7,6.5,s3395
64,29,18,165,9,9,s3396
50,27,19,160,8,7,s3397
46,21,19,155,10,7,s3398
45,21,21,160,9,7.5,s3399
36,12,12,115,4,4.5,s3400
47,22,32,145,4,8,s3401
52,27,31,140,3,8,s3402
39,18,33,135,3,7,s3403
40,17,32,120,3,8,s3404
44,19,30,135,3,8,s3405
50,19,22,145,7,7,s3406
34,14,22,115,7,6,s3407
48,24,22,130,8,7,s3408
53,24,23,150,6,8,s3409
46,23,22,160,5,7,s3410
55,23,24,140,8,8,s3411
53,24,22,140,8,7,s3412
36,12,24,125,6,5.5,s3413
40,17,23,135,7,6.5,s3414
50,22,22,145,7,7,s3415
55,21,20,135,8,7.5,s3416
53,23,23,145,5,8,s3417
49,19,21,140,5,7,s3418
54,21,27,155,9,8,s3419
53,20,26,145,7,8,s3420
55,26,20,155,11,8,s3421
51,23,22,170,8,8,s3422
